,count,mean,std,min,25%,50%,75%,max
inventory_change,858.0,130.06526806526807,4987.949347529311,-17049.0,-3244.25,336.5,3049.75,21563.0
inventory_shock_z,833.0,-0.00580536369663683,1.0227867501726247,-3.4970540084133215,-0.7204923405607805,-0.009102209428274066,0.6575750714399264,3.3562520828886084
cushing_shock_z,833.0,-0.01365766600098733,1.042133801290477,-3.1534281847807217,-0.7421203038812093,-0.042394317255749825,0.6874386531310144,3.6866091574465316
crude_balance,858.0,1011604.3857808858,126237.59826080858,741865.0,952830.25,1045498.0,1093983.25,1218150.0
balance_residual,858.0,1011474.3205128205,126109.1912951954,750128.0,949411.5,1045233.5,1093399.0,1217297.0
days_of_supply,858.0,181.39735355742144,27.177632927095797,137.16313584679833,159.8831523311336,179.5939159449223,194.76064474533985,329.3432038834951
brent_wti_spread,855.0,6.0486666666666675,5.77728278229517,-4.940000000000001,2.3800000000000026,4.420000000000002,7.675000000000001,28.939999999999998
trailing_20d_vol,850.0,0.34384692101991804,0.2225455743927733,0.11283909023857704,0.22980937264196555,0.29069061766334703,0.40530167606655465,2.76522623996748
fwd_5d_realized_vol,855.0,0.33048719546202837,0.2773784841190061,0.03639081250383601,0.18682883447731052,0.2719725187905165,0.382809555426168,3.236514355522406
fwd_5d_spread_change,852.0,0.0039201877934271386,1.83758396102982,-12.159999999999997,-0.8699999999999992,-0.019999999999999574,0.8725000000000023,8.170000000000002
fwd_5d_wti_return,855.0,-0.00011797745456644269,0.05594174922431038,-0.41306666501583333,-0.026439279675020418,0.0020646944705717055,0.027229744200705362,0.41664733325370357
