title,shock_col,outcome_col,study,n_draws,n_builds,mean_outcome_after_draw,mean_outcome_after_build,difference,t_statistic,p_value,significant_5pct
Inventory Draw vs Build -> WTI 5-day Volatility,inventory_shock_z,fwd_5d_realized_vol,Inventory Draw vs Build -> WTI 5-day Volatility,83,83,0.30893704779005554,0.40557231160963275,-0.09663526381957721,-1.74508707824349,0.08385343215961955,False
Cushing Draw vs Build -> Brent-WTI Spread Change,cushing_shock_z,fwd_5d_spread_change,Cushing Draw vs Build -> Brent-WTI Spread Change,83,83,-0.20168674698795247,0.065542168674698,-0.2672289156626505,-0.9503434115867978,0.34334300162929005,False
Inventory Draw vs Build -> WTI 5-day Return,inventory_shock_z,fwd_5d_wti_return,Inventory Draw vs Build -> WTI 5-day Return,83,83,-0.004746960659704128,-0.0011269285443806251,-0.003620032115323503,-0.37507881753411126,0.7081585643601254,False
